date,total,all_pass,score4plus,avg_rs,sec_Basic Materials,sec_Communication S,sec_Consumer Cyclic,sec_Consumer Defens,sec_Energy,sec_Financial Servi,sec_Healthcare,sec_Industrials,sec_Real Estate,sec_Technology,sec_Utilities,sec_その他
2026-05-23,4814,225,1007,1.405,14,4,14,6,17,10,58,34,1.0,54,6.0,7
2026-05-24,4814,171,815,1.405,11,3,9,5,16,5,43,23,1.0,47,4.0,4
2026-05-30,4818,202,853,1.428,8,2,9,5,30,4,49,26,1.0,59,4.0,5
2026-06-06,4820,237,876,1.295,7,6,11,6,26,3,43,26,1.0,89,2.0,17
2026-06-13,4830,186,789,1.35,6,4,7,3,12,3,46,16,1.0,75,1.0,12
2026-06-19,4839,166,773,1.366,9,6,7,3,15,4,38,18,,53,3.0,10
2026-06-26,4841,171,873,1.314,5,4,10,3,15,1,42,16,,60,2.0,13
2026-07-03,4847,182,852,1.269,6,3,10,3,10,2,55,27,,54,,12
